Date,Open,High,Low,Close,Adj Close,Volume
2024-04-07,2.523463,2.549018,2.513260,2.526046,2.526046,24288212
2024-04-08,2.526044,2.546383,2.518765,2.539027,2.539027,37321362
2024-04-09,2.538985,2.544960,2.515505,2.525211,2.525211,39052059
2024-04-10,2.525211,2.536326,2.486680,2.533573,2.533573,58283582
2024-04-11,2.533583,2.558424,2.529357,2.543663,2.543663,62065142
2024-04-12,2.543666,2.555431,2.478478,2.508034,2.508034,85897948
2024-04-13,2.508043,2.532786,2.213263,2.442086,2.442086,152134663
2024-04-14,2.443912,2.571547,2.401990,2.567701,2.567701,257376042
2024-04-15,2.567741,2.598226,2.497885,2.518302,2.518302,72716694
2024-04-16,2.518302,2.531030,2.451798,2.527241,2.527241,81126440
2024-04-17,2.527241,2.548173,2.479525,2.498470,2.498470,39120799
2024-04-18,2.498421,2.543101,2.482177,2.540012,2.540012,49512081
2024-04-19,2.540012,2.558084,2.465869,2.547722,2.547722,58458608
2024-04-20,2.547769,2.579430,2.533847,2.577285,2.577285,32028200
2024-04-21,2.577629,2.590459,2.567658,2.583014,2.583014,26929759
2024-04-22,2.582841,2.608819,2.573646,2.607584,2.607584,34870920
2024-04-23,2.607588,2.617678,2.602714,2.606992,2.606992,36035810
2024-04-24,2.606992,2.617746,2.588213,2.599976,2.599976,35036140
2024-04-25,2.599833,2.608244,2.582536,2.603144,2.603144,36234045
2024-04-26,2.603163,2.603543,2.585213,2.587599,2.587599,25721276
2024-04-27,2.588072,2.605624,2.563869,2.603318,2.603318,23082313
2024-04-28,2.603318,2.623879,2.594815,2.594862,2.594862,26236463
2024-04-29,2.594639,2.602054,2.569897,2.594676,2.594676,25200285
2024-04-30,2.594795,2.604369,2.509325,2.545018,2.545018,33422235
2024-05-01,2.545232,2.585021,2.477703,2.584211,2.584211,43466379
2024-05-02,2.584211,2.620512,2.553056,2.614450,2.614450,54372261
2024-05-03,2.614255,2.659957,2.606890,2.657934,2.657934,43502625
2024-05-04,2.658032,2.679440,2.652963,2.670335,2.670335,25583355
2024-05-05,2.670560,2.680892,2.655807,2.671895,2.671895,19765756
2024-05-06,2.671909,2.719707,2.670016,2.696954,2.696954,35835046
2024-05-07,2.696973,2.728138,2.678462,2.678462,2.678462,43868159
2024-05-08,2.678252,2.689149,2.643853,2.650983,2.650983,32130261
2024-05-09,2.650826,2.711404,2.647526,2.708429,2.708429,26488411
2024-05-10,2.708429,2.719708,2.668892,2.677350,2.677350,29669898
2024-05-11,2.677689,2.683983,2.664789,2.676885,2.676885,19407245
2024-05-12,2.676882,2.683033,2.665091,2.666130,2.666130,13697220
2024-05-13,2.666191,2.704061,2.645630,2.694981,2.694981,24100436
2024-05-14,2.694981,2.697620,2.660115,2.667801,2.667801,24388188
2024-05-15,2.667852,2.754343,2.661839,2.746089,2.746089,45448653
2024-05-16,2.745884,2.791937,2.739458,2.759332,2.759332,58154439
2024-05-17,2.759332,2.829137,2.758826,2.819520,2.819520,38000547
2024-05-18,2.819632,2.852688,2.818246,2.838430,2.838430,23822624
2024-05-19,2.838430,2.852341,2.813782,2.829850,2.829850,25420276
2024-05-20,2.829456,2.946803,2.818094,2.937501,2.937501,63500223
2024-05-21,2.938074,2.960341,2.908269,2.924197,2.924197,45993575
2024-05-22,2.924442,2.945729,2.915936,2.920672,2.920672,46766173
2024-05-23,2.920489,2.932303,2.854689,2.919985,2.919985,55851754
